Date,Property ID,Property,Ad Space ID,Ad Space Name,Placement ID,Placement Name,Delivery Method,Display Format,Requests,Filled Requests,Fill Rate,Impressions,Impression Rate,2-second Continuous Video Views,2-second Continuous Video View Rate,10-second Video Views,10-second Video View Rate,Clicks,CTR,Average CPM,Revenue
2019-08-18,"=""789285774603144""","=""gazeta.ru""","=""1956898614526961""",Gazeta.ru_instream,"=""1956898687860287""",Gazeta_instream_new,standard,instream_video,32818,6564,0.20001218843318,2224,0.33881779402803,1662,0.74730215827338,904,0.40647482014388,32,0.014388489208633,1,2.224
2019-08-18,"=""860498464121379""","=""rambler.ru""","=""847805922039838""",Rambler.ru_instream,"=""936889249798171""",Rambler.ru,standard,instream_video,26677,5186,0.19439967012783,2773,0.53470883146934,2386,0.86043995672557,1534,0.5531914893617,60,0.02163721601154,1.5,4.1595
2019-08-18,"=""1824311337861930""","=""tnt-online.ru""","=""2334257023467438""",Tnt-online.ru_instream,"=""2334257326800741""",tnt-online.ru_instream,standard,instream_video,34131,12157,0.35618645805866,10533,0.86641441145019,9656,0.91673787145163,8012,0.76065698281591,31,0.002943131111744,4.5662763116871,48.096588391
2019-08-18,"=""2029886443925692""","=""rutube.ru""","=""1448859808542845""",Rutube,"=""1448860211876138""",Rutube.ru,standard,instream_video,1159635,370065,0.31912196510109,191487,0.51744153054193,177320,0.92601586530678,143185,0.74775311117726,740,0.003864492106514,2.7410604484221,524.877442087
2019-08-18,"=""2029886443925692""","=""rutube.ru""","=""2013158515446302""",Rutube_iOS_app,"=""2013159032112917""",Rutube iOS_app,standard,instream_video,6027,3538,0.58702505392401,3115,0.88044092707744,2787,0.89470304975923,2393,0.76821829855538,21,0.006741573033708,3.944786812199,12.28801092
2019-08-17,"=""130940864343573""","=""showjet.ru""","=""784350111766188""",Showjet,"=""784350188432847""",Showjet,standard,instream_video,136608,19391,0.14194629889904,12447,0.64189572482079,12447,1,9373,0.75303285932353,11,0.000883747087652,3.7129732063951,46.2153775
2019-08-17,"=""151381672148111""","=""gamak.tv""","=""500564580322325""",Gamak.tv,"=""500564633655653""",Gamak.tv,standard,instream_video,3772,1589,0.4212619300106,1316,0.82819383259912,1316,1,829,0.62993920972644,4,0.003039513677812,5.8080935197568,7.643451072
2019-08-17,"=""154850758460936""","=""my.mail.ru""","=""1481911218552416""",news.mail.ru,"=""1481911508552387""",Mail.ru_pre-rolls,standard,instream_video,34046,13771,0.40448217118017,5677,0.41224311959916,5677,1,2637,0.46450590100405,99,0.017438788092302,3.7288036536903,21.168418342
2019-08-17,"=""154850758460936""","=""my.mail.ru""","=""1538370962906441""",News.mail.ru,"=""1538371399573064""",News.mail.ru_pre-roll,standard,instream_video,60585,14789,0.24410332590575,11236,0.75975387112043,11236,1,6409,0.57039871840513,176,0.015663937344251,3.8856774693841,43.659472046
2019-08-17,"=""154850758460936""","=""my.mail.ru""","=""2105211042889094""",mail.ru_pre-rolls,"=""2105211789555686""",Mail.ru_pre-rolls,standard,instream_video,43191,2462,0.0570026162858,98,0.039805036555646,98,1,37,0.37755102040816,0,0,2.6521755102041,0.2599132
2019-08-17,"=""158926854793451""","=""ivi.ru""","=""1275054429266085""",www.ivi.ru,"=""1275054502599411""",Position1,standard,instream_video,202875,17108,0.084327788046827,8044,0.470189385083,8044,1,6159,0.76566384883143,16,0.00198906016907,4.3136490651417,34.69899308
2019-08-17,"=""158926854793451""","=""ivi.ru""","=""1303846586386869""",Ivi_PreRoll_CIS_4,"=""1303846696386858""",Position4_CIS,standard,instream_video,8285,3370,0.4067592033796,2331,0.69169139465875,2331,1,1972,0.84598884598885,12,0.005148005148005,1.1079402016302,2.58260861
2019-08-17,"=""158926854793451""","=""ivi.ru""","=""1543119192459606""",pre-roll,"=""1543120109126181""",ivi-pre-roll-mobile,standard,instream_video,227106,17815,0.078443546185482,9406,0.52798203760876,9406,1,6736,0.71613863491388,18,0.001913672124176,4.2730550861152,40.19235614
2019-08-17,"=""158926854793451""","=""ivi.ru""","=""1787755141329342""",Position2-4,"=""1787758234662366""",Position2,standard,instream_video,165899,15374,0.092670841897781,7846,0.51034213607389,7846,1,6012,0.7662503186337,13,0.00165689523324,4.2306827925057,33.19393719
2019-08-17,"=""158926854793451""","=""ivi.ru""","=""1787755141329342""",Position2-4,"=""1787761314662058""",Position3,standard,instream_video,85256,9594,0.11253166932533,5652,0.5891181988743,5652,1,4466,0.79016277423921,4,0.00070771408351,4.2576634996461,24.0643141
