Date,Property ID,Property,Ad Space ID,Ad Space Name,Placement ID,Placement Name,Delivery Method,Display Format,Requests,Filled Requests,Fill Rate,Impressions,Impression Rate,2-second Continuous Video Views,2-second Continuous Video View Rate,10-second Video Views,10-second Video View Rate,Clicks,CTR,Average CPM,Revenue
2019-09-18,"=""860498464121379""","=""rambler.ru""","=""847805922039838""",Rambler.ru_instream,"=""936889249798171""",Rambler.ru,standard,instream_video,416176,102184,0.24553073699589,46468,0.45474829718938,37015,0.79656968236206,20690,0.44525264698287,616,0.013256434535594,1.5,69.702
2019-09-18,"=""1824311337861930""","=""tnt-online.ru""","=""2334257023467438""",Tnt-online.ru_instream,"=""2334257326800741""",tnt-online.ru_instream,standard,instream_video,62298,16190,0.25987993194003,13788,0.85163681284744,12840,0.93124456048738,10801,0.7833623440673,47,0.003408761241659,6.0914593388454,83.989041364
2019-09-18,"=""2029886443925692""","=""rutube.ru""","=""1448859808542845""",Rutube,"=""1448860211876138""",Rutube.ru,standard,instream_video,1188997,375291,0.31563662481907,181246,0.48294789909697,167311,0.92311554461892,136819,0.75488010769893,796,0.004391821060879,4.354198566716,789.181073423
2019-09-18,"=""2029886443925692""","=""rutube.ru""","=""2013158515446302""",Rutube_iOS_app,"=""2013159032112917""",Rutube iOS_app,standard,instream_video,7883,4693,0.59533172650006,4203,0.89558917536757,3831,0.91149179157744,3254,0.7742088984059,27,0.006423982869379,5.781200649536,24.29838633
2019-09-18,"=""2053334831568811""","=""russia.tv""","=""1733902773585320""",M24.ru_InStream_Russia,"=""1733902836918647""",M24.ru_InStream_Russia,standard,instream_video,9533,29,0.003042064407846,12,0.41379310344828,8,0.66666666666667,4,0.33333333333333,1,0.083333333333333,2.4245425,0.02909451
2019-09-17,"=""130940864343573""","=""showjet.ru""","=""784350111766188""",Showjet,"=""784350188432847""",Showjet,standard,instream_video,128934,20161,0.15636682333597,12266,0.608402360994,12266,1,9489,0.77360182618621,10,0.000815261699005,5.1555168367846,63.23756952
2019-09-17,"=""151381672148111""","=""gamak.tv""","=""500564580322325""",Gamak.tv,"=""500564633655653""",Gamak.tv,standard,instream_video,9040,3628,0.40132743362832,3195,0.88065049614112,3195,1,1811,0.56682316118936,7,0.002190923317684,6.6353046748044,21.199798436
2019-09-17,"=""154850758460936""","=""my.mail.ru""","=""1481911218552416""",news.mail.ru,"=""1481911508552387""",Mail.ru_pre-rolls,standard,instream_video,39014,14708,0.3769928743528,6348,0.4316018493337,6348,1,2608,0.41083805923125,48,0.007561436672968,3.7096224918084,23.548683578
2019-09-17,"=""154850758460936""","=""my.mail.ru""","=""1538370962906441""",News.mail.ru,"=""1538371399573064""",News.mail.ru_pre-roll,standard,instream_video,150702,32837,0.21789359132593,24614,0.74958126503639,24614,1,13373,0.54330868611359,509,0.020679288209962,3.7802067220687,93.046008257
2019-09-17,"=""158926854793451""","=""ivi.ru""","=""1275054429266085""",www.ivi.ru,"=""1275054502599411""",Position1,standard,instream_video,95631,11089,0.1159561230145,6112,0.55117684191541,6112,1,5177,0.8470222513089,27,0.004417539267016,5.2469045206152,32.06908043
2019-09-17,"=""158926854793451""","=""ivi.ru""","=""1303846586386869""",Ivi_PreRoll_CIS_4,"=""1303846696386858""",Position4_CIS,standard,instream_video,24424,8426,0.34498853586636,6136,0.72822216947543,6136,1,5378,0.8764667535854,18,0.002933507170795,1.6353795322686,10.03468881
2019-09-17,"=""158926854793451""","=""ivi.ru""","=""1543119192459606""",pre-roll,"=""1543120109126181""",ivi-pre-roll-mobile,standard,instream_video,118182,12338,0.10439830092569,7080,0.57383692656833,7080,1,5904,0.83389830508475,40,0.005649717514124,5.2156181242938,36.92657632
2019-09-17,"=""158926854793451""","=""ivi.ru""","=""1787755141329342""",Position2-4,"=""1787758234662366""",Position2,standard,instream_video,104147,14068,0.13507830278357,8111,0.57655672448109,8111,1,7039,0.86783380594255,30,0.003698680803847,5.2620705313771,42.68065408
2019-09-17,"=""158926854793451""","=""ivi.ru""","=""1787755141329342""",Position2-4,"=""1787761314662058""",Position3,standard,instream_video,58800,9289,0.15797619047619,5934,0.6388201098073,5934,1,5304,0.8938321536906,14,0.002359285473542,5.2644421536906,31.23919974
2019-09-17,"=""158926854793451""","=""ivi.ru""","=""1787755141329342""",Position2-4,"=""1787762887995234""",Position4,standard,instream_video,33081,5840,0.17653638039963,3832,0.65616438356164,3832,1,3441,0.89796450939457,12,0.003131524008351,5.2940893371608,20.28695034
2019-09-17,"=""158926854793451""","=""ivi.ru""","=""1981448851959969""",Ivi_PreRoll_CIS,"=""1981452975292890""",Position1_CIS,standard,instream_video,90219,20348,0.2255400747071,11447,0.56256143109888,11447,1,9502,0.83008648554206,33,0.002882851402114,1.6377505005678,18.74732998
